task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,donor_h3_B0,proprio,4,spearman_loss,8,8,0.0010181779797553414,0.00089162101801132376,0.0011416237958199599
reach,fresh,donor_h3_B0,proprio,4,native_top10_overlap,8,8,9.75,9.375,10
reach,fresh,donor_h3_B0,proprio,4,centered_cost_change_rms,8,8,0.0025906919947240262,0.002349566594911659,0.0028497523850157238
reach,fresh,donor_h3_B0,proprio,6,donor_reconstruction,8,8,0.11601393369363093,0.10936512884166928,0.12237903455754964
reach,fresh,donor_h3_B0,proprio,6,numerator_mse_mean,8,8,0.0034516278765377747,0.0032364819335146248,0.0036822044056584609
reach,fresh,donor_h3_B0,proprio,6,denominator_mse_mean,8,8,0.0039033302689153431,0.0036675054616204092,0.0041450206283824512
reach,fresh,donor_h3_B0,proprio,6,native_spearman,8,8,0.99898182202024466,0.99885837620418005,0.99910837898198879
reach,fresh,donor_h3_B0,proprio,6,spearman_loss,8,8,0.0010181779797553414,0.00089162101801132376,0.0011416237958199599
reach,fresh,donor_h3_B0,proprio,6,native_top10_overlap,8,8,9.75,9.375,10
reach,fresh,donor_h3_B0,proprio,6,centered_cost_change_rms,8,8,0.0025906919947240262,0.002349566594911659,0.0028497523850157238
reach,fresh,donor_h3_B0,visual,3,donor_reconstruction,8,8,0.33567049708863261,0.32854890313637153,0.3419181131137794
reach,fresh,donor_h3_B0,visual,3,numerator_mse_mean,8,8,0.029989065080022824,0.028037092165225676,0.032024077271276222
reach,fresh,donor_h3_B0,visual,3,denominator_mse_mean,8,8,0.045102084969845684,0.042450324087551783,0.047743260366661912
reach,fresh,donor_h3_B0,visual,3,native_spearman,8,8,0.99804947832753699,0.99768147423860265,0.99841314903498923
reach,fresh,donor_h3_B0,visual,3,spearman_loss,8,8,0.0019505216724630264,0.0015868509650106971,0.0023185257613973775
